0.0522944	0
1.05264	3432
2.05284	4849
3.052	4851
4.05347	4857
5.05493	4857
6.05409	4851
7.05517	4856
8.05663	4857
9.0581	4852
10.0596	4857
11.0611	3513
12.0626	4857
13.064	4852
14.0655	4857
15.0669	4857
16.0661	4851
17.0672	4856
18.0686	4857
19.0701	4852
20.0716	4857
21.1084	3989
22.1082	4404
23.1093	4856
24.1107	4857
25.1122	4852
26.1137	4857
27.1151	4852
28.1166	4857
29.1161	4853
30.1162	4856
31.1183	4856
32.1202	3517
33.1203	4856
34.12	4854
35.1201	4856
36.1222	4856
37.1223	4856
38.1221	4854
39.1222	4856
40.1318	4764
41.133	4020
42.1347	2219
43.1377	2750
44.1395	2108
45.1405	2485
46.1403	2294
47.147	2449
48.1481	2423
49.1485	2491
50.1487	2472
51.149	2506
52.1585	2335
53.1585	2108
54.1599	2653
55.1596	2616
56.1611	2717
57.1625	2671
58.1638	2616
59.1653	2609
60.1651	2557
61.1665	2598
62.1675	2652
63.1703	2023
64.172	2621
65.1764	2645
66.1767	2659
67.1797	2618
68.1792	2572
69.1794	2593
70.18	2627
71.1818	2621
72.1832	2610
73.1849	1960
74.1884	2632
75.19	2695
76.1907	2642
77.1905	2580
78.1942	2600
79.1956	2600
80.1951	2591
81.1981	2513
82.2018	2346
83.2059	2013
84.2086	1510
85.2116	1967
86.212	1868
87.2142	1816
88.2152	1818
89.2215	1759
90.2239	1751
91.228	1783
92.2304	1740
93.2351	1746
94.2375	1448
95.2384	1837
96.2382	1773
97.2412	1877
98.244	1792
99.2446	1805
100.25	1802
101.251	1829
102.256	1848
103.257	1796
104.313	1466
105.315	1742
106.316	1815
107.317	1721
108.323	1722
109.327	1735
110.326	1768
111.326	1730
112.327	1645
113.327	1658
114.329	1708
115.331	1375
116.334	1699
117.336	1693
118.336	1734
119.336	1732
120.338	1701
121.342	1701
122.346	1568
123.355	1249
124.392	691
125.4	777
126.403	1057
127.41	909
128.411	894
129.416	879
130.421	807
131.421	931
132.424	1029
133.425	919
