120.153	1	152	1404
120.158	12	153	206
120.165	14	155	1406
120.361	15	158	206
120.371	17	157	1408
120.378	18	155	208
120.383	19	158	1408
120.392	20	159	1408
120.565	21	155	208
120.573	22	153	1408
120.578	23	149	1408
120.589	24	149	208
120.603	26	152	1408
120.608	27	148	1408
120.624	28	155	1408
120.63	29	150	1406
120.768	30	153	206
120.776	32	149	1406
120.785	33	150	206
120.788	34	151	1406
120.82	37	155	206
120.839	40	152	206
120.974	42	156	1406
120.982	43	155	1408
120.995	44	157	206
121.025	46	154	1408
121.047	47	158	1408
121.181	48	156	1408
121.19	49	157	1408
121.202	50	158	1408
121.21	51	157	1406
121.232	52	157	1408
121.235	53	152	206
121.242	54	157	1406
121.255	55	158	1406
121.265	57	158	1406
121.384	58	154	1406
121.395	59	155	206
121.405	61	154	1406
121.411	62	150	206
121.413	63	151	1406
121.429	65	148	206
121.436	66	153	1406
121.441	67	149	1406
121.461	70	149	1406
121.469	71	147	208
121.47	72	146	206
121.472	73	146	1406
121.591	74	157	1406
121.609	76	154	1408
121.621	77	158	1406
121.631	78	157	1406
121.643	79	161	1408
121.651	80	158	206
121.663	82	159	1406
121.675	83	162	208
121.681	85	157	206
121.695	87	159	1406
121.705	88	160	206
121.791	90	150	1406
121.797	91	146	207
121.799	92	147	1407
121.805	93	143	208
121.811	94	148	1407
121.821	95	149	207
121.824	96	149	1407
121.836	97	152	1407
121.844	98	150	207
121.848	99	154	1407
121.861	100	156	1407
121.87	101	156	1408
121.881	102	157	207
121.883	103	158	1407
121.89	104	156	1408
121.901	105	156	1407
121.913	106	158	1408
121.921	107	157	207
121.93	109	156	1407
121.995	110	153	1408
122.005	111	155	207
122.01	112	157	1407
122.026	114	154	207
122.037	116	155	1407
122.05	117	157	207
122.057	119	154	1407
122.065	120	153	207
122.077	122	154	1407
122.085	123	152	207
122.106	126	152	207
122.108	127	153	1407
122.113	128	150	1407
122.123	129	152	207
122.126	130	153	1407
122.135	131	154	1409
122.152	134	155	1407
122.164	135	159	1407
122.169	136	155	207
122.172	137	156	1407
122.181	138	158	1407
122.189	139	157	207
122.191	140	159	1407
122.203	141	162	1407
122.211	142	162	207
122.213	143	163	1407
122.22	144	163	1407
122.228	146	163	1407
122.238	147	164	1407
122.245	148	164	1409
122.248	149	161	1409
122.255	150	160	207
122.274	154	155	207
122.276	155	157	1407
122.283	156	156	1409
122.296	158	155	207
122.309	159	153	1409
122.314	160	151	1409
122.321	161	151	1407
122.33	162	154	1407
122.334	163	150	207
122.337	164	151	1407
122.341	165	149	1407
122.347	166	147	207
122.36	168	150	209
122.367	170	149	1407
122.373	171	148	207
122.385	173	151	1407
122.39	174	149	207
122.392	175	151	1407
122.404	176	151	1407
122.41	177	149	207
122.414	178	153	1407
122.43	182	148	209
122.432	183	150	1407
122.438	184	149	207
122.44	185	151	1407
122.45	187	148	207
122.454	188	152	1407
122.461	189	153	1407
122.467	190	154	207
122.469	191	155	1407
122.476	192	157	1407
122.485	193	160	1409
122.493	194	162	1409
122.498	196	157	207
122.503	197	160	1407
122.515	200	157	207
122.52	201	160	1407
122.525	202	160	1407
122.537	205	162	1407
122.542	206	162	207
122.55	208	163	1407
122.555	209	163	207
122.559	211	163	1407
122.567	213	164	1407
122.571	214	164	1407
122.576	215	164	1409
122.583	216	166	1409
122.591	219	163	1407
122.594	220	161	207
122.599	222	161	1409
122.601	223	158	1407
122.607	224	158	207
122.612	226	158	1407
122.617	227	159	207
122.627	231	157	1407
122.632	232	156	1407
122.639	233	158	1409
122.642	234	157	209
122.644	235	158	1409
122.647	236	156	207
122.651	238	155	1407
122.659	239	157	1409
122.664	240	157	207
122.672	243	153	207
122.695	249	146	1409
122.7	250	147	207
122.703	251	149	1407
122.715	252	149	1409
122.722	253	152	1409
122.731	254	157	1407
122.742	257	154	211
122.744	259	152	1408
122.754	260	154	1411
122.757	261	153	208
122.764	263	154	1411
122.774	265	154	211
122.782	268	156	1408
122.789	271	153	1408
122.795	272	155	208
122.795	273	154	211
122.805	276	154	1411
122.812	277	156	1408
122.819	279	158	1408
122.826	281	158	1408
122.833	284	155	1411
122.838	285	156	1411
